url,label,source
http://nguyenminhhoangc.github.io/test/,1,OpenPhish
http://s117x.xyz/,1,OpenPhish
https://netflix-clone-olive-ten.vercel.app/,1,OpenPhish
https://mial.suport-apple.cloud/signIn/jp-ja/shop/TP4fUx7y6/,1,OpenPhish
https://acc.muralhasolene.pt/Latine_promo/auth/cancel.php,1,OpenPhish
http://pacificar-ec.webcindario.com/,1,OpenPhish
https://suport-apple.lol/signIn/jp-ja/shop/TP4fUx7y6/,1,OpenPhish
https://amzn.openinapp.link/xhzx1,1,OpenPhish
https://netflix-clone-eight-teal.vercel.app/,1,OpenPhish
https://amzn.openinapp.link/6cg4d,1,OpenPhish
https://aumentoultra34.s3.us-east-005.backblazeb2.com/aumento.html,1,OpenPhish
https://odirleidesenhos.com.br/site/Contact/colliction/Tracking/billing.php/,1,OpenPhish
https://amzn.openinapp.link/fkmbs,1,OpenPhish
https://jodeartio2as3-begfdhhuhhe2bnbq.z02.azurefd.net/,1,OpenPhish
https://customer-sp-ines.pages.dev/help/contact/548547764391286/,1,OpenPhish
https://live-ldger.framer.wiki/,1,OpenPhish
http://www.65866.xyz/,1,OpenPhish
https://truea1u83ust5rsjdhbckjsxjd-cwdtaretbsc3gbb7.z03.azurefd.net/,1,OpenPhish
http://saksham1122a.github.io/Netflix-Clone,1,OpenPhish
https://ugeduecversity.iceiy.com/?i=1,1,OpenPhish
https://webledgerlive.wixstudio.com/en-us,1,OpenPhish
https://baskbntr-shop.club/,1,OpenPhish
http://gifts-events.cfd/id=5947221648,1,OpenPhish
https://u.to/d2V7Ig,1,OpenPhish
https://mitamxsklogun.gitbook.io/,1,OpenPhish
https://p213a.xyz/,1,OpenPhish
https://a130i.xyz/,1,OpenPhish
https://madandas01.github.io/amazon-clone/,1,OpenPhish
https://aryatambe.github.io/Amazon-Clone/,1,OpenPhish
https://www.robiox.com.py/users/232633265728/profile,1,OpenPhish
https://patrimonioa.s3.us-east-005.backblazeb2.com/aumento.html,1,OpenPhish
https://mohdshadav.github.io/Amazon-Clone-Project1/,1,OpenPhish
https://jeanholanda.github.io/streaming-landing-page/,1,OpenPhish
https://dpd.boxrouter.cfd/com/,1,OpenPhish
https://dpd.packpanelr.cfd/com/,1,OpenPhish
https://aumentoja01.s3.us-east-005.backblazeb2.com/aumento.html,1,OpenPhish
http://www.dpdlocary.fun/com/,1,OpenPhish
http://www.dpdlocaip.online/com/,1,OpenPhish
http://www.dpdlocaeq.cyou/com/,1,OpenPhish
http://pay.energyboostcare.com/paypal/zqxvrmzd.html,1,OpenPhish
http://www.virtualnextpartner.com/m/login/,1,OpenPhish
http://www.zmelto.cfd/KJHGFVBNMOIUYTYRF/OIUYTRERTYUIOMNBVC/WERTYUIOPCVBNMMNB/CVBNJKLKJHGFUYTSGW/Mac/utility.php,1,OpenPhish
http://www.zmelto.cfd/KJHGFVBNMOIUYTYRF/OIUYTRERTYUIOMNBVC/WERTYUIOPCVBNMMNB/CVBNJKLKJHGFUYTSGW/,1,OpenPhish
https://roblox.mq/users/8910444649/profile,1,OpenPhish
http://www.dpdlocarg.autos/com/,1,OpenPhish
http://www.virtualnextpartner.com/m/,1,OpenPhish
http://www.sultoneff.id/owa.auth.logo.aspx,1,OpenPhish
http://www.sultoneff.id/owa.auth.logo.aspx/,1,OpenPhish
https://bejewelled-platypus-ee0700.netlify.app/,1,OpenPhish
http://www.ratingworkingaccount.id/m/register/,1,OpenPhish
